issn_l_prefixed,issn_l,title,issns,publisher,subject,subject_top_three,subjects_all,subscribed,is_society_journal,usage,subscription_cost,ill_cost,cpu,cpu_rank,cost,instant_usage_percent,free_instant_usage_percent,subscription_minus_ill_cost,use_oa_percent,use_backfile_percent,use_subscription_percent,use_ill_percent,use_other_delayed_percent,perpetual_access_years_text,baseline_access_text,bronze_oa_embargo_months,downloads,citations,authorships,cpu_fuzzed,subscription_cost_fuzzed,subscription_minus_ill_cost_fuzzed,usage_fuzzed,downloads_fuzzed,citations_fuzzed,authorships_fuzzed
issn:2211-9264,2211-9264,Algal Research,['2211-9264'],Elsevier BV,Biology,"Biology,Chemistry,Ecology","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C39432304"",""Environmental science""], [""C71924100"",""Medicine""], [""C192562407"",""Materials science""]]",False,False,327,1179.4,70.7801,8.442676,48.0,70.7801,59.8697,60,1109,27,32,0,2,38,2016-2025,,,208,6.0,0.6,low,low,low,low,low,low,medium
issn:0378-1135,0378-1135,Veterinary Microbiology,"['0378-1135', '1873-2542']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""]]",False,False,3606,7524.4,500.212,8.544609,49.0,500.212,77.2011,77,7024,21,56,0,1,22,2016-2025,,,2581,50.8,5.2,low,high,high,high,high,high,high
issn:0927-0256,0927-0256,Computational Materials Science,"['0927-0256', '1879-0801']",Elsevier BV,Materials science,"Chemistry,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C86803240"",""Biology""], [""C127313418"",""Geology""], [""C205649164"",""Geography""]]",False,False,1425,5186.4,365.1905,8.815301,50.0,365.1905,61.624,62,4821,20,41,0,2,36,2016-2025,,,1120,16.6,1.4,low,medium,medium,high,high,high,high
issn:1742-7061,1742-7061,Acta Biomaterialia,"['1742-7061', '1878-7568']",Elsevier BV,Materials science,"Biology,Chemistry,Materials science","[[""C192562407"",""Materials science""], [""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""]]",False,False,777,2283.2,120.2076,8.964525,51.0,120.2076,68.9432,69,2163,39,30,0,2,30,2016-2025,,,455,16.2,1.6,low,low,low,medium,low,high,high
issn:1537-5110,1537-5110,Biosystems Engineering,"['1537-5110', '1537-5129']",Elsevier BV,Engineering,"Biology,Engineering,Physics","[[""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C39432304"",""Environmental science""], [""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""], [""C185592680"",""Chemistry""], [""C192562407"",""Materials science""], [""C95457728"",""History""]]",False,False,808,2295.8,170.8825,8.979694,52.0,170.8825,70.7045,71,2125,29,42,0,1,28,2016-2025,,,686,10.2,0.2,low,low,low,medium,medium,medium,low
issn:0749-3797,0749-3797,American Journal of Preventive Medicine,"['0749-3797', '1873-2607']",Elsevier BV,Medicine,"Biology,Medicine,Political science","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C17744445"",""Political science""], [""C15744967"",""Psychology""], [""C144024400"",""Sociology""], [""C162324750"",""Economics""], [""C185592680"",""Chemistry""], [""C33923547"",""Mathematics""], [""C41008148"",""Computer science""]]",False,True,859,1768.6,125.9485,9.000052,53.0,125.9485,78.7509,79,1643,54,25,0,1,20,2016-2025,,,697,14.2,0.2,low,low,low,medium,medium,medium,low
issn:1364-0321,1364-0321,Renewable and Sustainable Energy Reviews,"['1364-0321', '1879-0690']",Elsevier BV,Engineering,"Biology,Ecology,Engineering","[[""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C185592680"",""Chemistry""], [""C33923547"",""Mathematics""], [""C144133560"",""Business""], [""C17744445"",""Political science""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C162324750"",""Economics""], [""C39432304"",""Environmental science""]]",False,False,2879,5702.4,421.3991,9.003208,54.0,421.3991,79.6238,80,5281,42,38,0,1,19,2016-2025,,,2433,38.6,0.6,low,medium,medium,high,high,high,medium
issn:0346-251X,0346-251X,System,"['0346-251X', '1879-3282']",Elsevier BV,Computer science,"Computer science,Philosophy,Psychology","[[""C41008148"",""Computer science""], [""C15744967"",""Psychology""], [""C138885662"",""Philosophy""], [""C33923547"",""Mathematics""], [""C144024400"",""Sociology""], [""C17744445"",""Political science""], [""C86803240"",""Biology""], [""C162324750"",""Economics""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""]]",False,False,638,2049.0,153.5406,9.150902,55.0,153.5406,67.5528,68,1895,30,38,0,2,31,2016-2025,,,557,6.2,0.2,low,low,low,medium,medium,low,low
issn:0963-9969,0963-9969,Food Research International,"['0963-9969', '1873-7145']",Elsevier BV,Chemistry,"Biology,Chemistry,Food science","[[""C71924100"",""Medicine""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C127313418"",""Geology""], [""C41008148"",""Computer science""], [""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""]]",False,True,1532,5677.6,396.2692,9.172088,56.0,396.2692,62.4225,62,5281,22,40,0,2,36,2016-2025,,,1241,21.2,0.8,low,medium,medium,high,high,high,high
issn:0925-8388,0925-8388,Journal of alloys and compounds,"['0925-8388', '1873-4669']",,Materials science,"Chemistry,Materials science,Physics","[[""C192562407"",""Materials science""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C127313418"",""Geology""], [""C41008148"",""Computer science""]]",False,False,5193,24195.2,1763.26,9.185504,57.0,1763.26,52.9728,53,22432,13,40,0,2,45,2016-2025,,,4411,42.2,3.6,low,high,high,high,high,high,high
issn:0006-3495,0006-3495,Biophysical journal,"['0006-3495', '1542-0086']",,Chemistry,"Biochemistry,Biology,Chemistry","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C71924100"",""Medicine""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C15744967"",""Psychology""]]",False,True,1793,3694.8,205.9904,9.196264,58.0,205.9904,78.8448,79,3489,76,2,0,1,20,2016-2025,,12,1146,24.8,4.0,low,medium,medium,high,high,high,high
issn:0888-3270,0888-3270,Mechanical Systems and Signal Processing,"['0888-3270', '1096-1216']",Elsevier BV,Computer science,"Computer science,Engineering,Physics","[[""C41008148"",""Computer science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C33923547"",""Mathematics""], [""C192562407"",""Materials science""], [""C162324750"",""Economics""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""]]",False,False,1001,4249.0,268.2901,9.213365,59.0,268.2901,56.8329,57,3981,22,35,0,2,41,2016-2025,,,731,19.0,0.8,low,medium,medium,medium,medium,high,high
issn:0095-0696,0095-0696,Journal of Environmental Economics and Management,"['0095-0696', '1096-0449']",Elsevier BV,Economics,"Biology,Ecology,Economics","[[""C162324750"",""Economics""], [""C86803240"",""Biology""], [""C144133560"",""Business""], [""C41008148"",""Computer science""], [""C17744445"",""Political science""], [""C33923547"",""Mathematics""], [""C127413603"",""Engineering""], [""C205649164"",""Geography""], [""C121332964"",""Physics""], [""C138885662"",""Philosophy""], [""C39432304"",""Environmental science""], [""C127313418"",""Geology""], [""C95457728"",""History""]]",False,False,768,2288.2,142.8962,9.694452,60.0,142.8962,71.17,71,2145,42,30,0,1,27,2016-2025,,,583,6.6,1.2,low,low,low,medium,medium,low,high
issn:0021-9975,0021-9975,Journal of Comparative Pathology,"['0021-9975', '1532-3129']",Elsevier BV,Biology,"Biology,Internal medicine,Medicine","[[""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C15744967"",""Psychology""], [""C86803240"",""Biology""], [""C71924100"",""Medicine""]]",False,False,594,1782.0,124.0267,9.696168,61.0,124.0267,71.2337,71,1658,16,56,0,1,27,2016-2025,,,507,8.8,0.0,low,low,low,low,medium,medium,low
issn:1360-1385,1360-1385,Trends in Plant Science,"['1360-1385', '1878-4372']",Elsevier BV,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""], [""C127313418"",""Geology""]]",False,False,1681,4523.0,277.2927,9.749391,62.0,277.2927,74.0996,74,4246,32,42,0,1,25,2016-2025,,,1260,28.4,1.4,low,medium,medium,high,high,high,high
issn:0378-4290,0378-4290,Field Crops Research,"['0378-4290', '1872-6852']",Elsevier BV,Biology,"Agronomy,Biology,Ecology","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C205649164"",""Geography""], [""C39432304"",""Environmental science""], [""C121332964"",""Physics""], [""C127313418"",""Geology""], [""C192562407"",""Materials science""], [""C95457728"",""History""], [""C33923547"",""Mathematics""], [""C71924100"",""Medicine""]]",False,False,2657,5729.8,355.1497,9.873077,63.0,355.1497,79.5127,80,5375,41,39,0,1,19,2016-2025,,,2039,42.0,2.0,low,medium,medium,high,high,high,high
issn:0141-8130,0141-8130,International Journal of Biological Macromolecules,"['0141-8130', '1879-0003']",Elsevier BV,Chemistry,"Biochemistry,Biology,Chemistry","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C71924100"",""Medicine""], [""C127313418"",""Geology""]]",False,False,1261,6936.6,428.3607,9.903397,64.0,428.3607,47.8692,48,6508,15,33,0,3,50,2016-2025,,,967,15.4,1.4,low,medium,medium,high,high,medium,high
issn:1090-0233,1090-0233,The Veterinary Journal,"['1090-0233', '1532-2971']",Elsevier BV,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C15744967"",""Psychology""], [""C127313418"",""Geology""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""]]",False,False,1628,2115.8,150.1934,9.985247,65.0,150.1934,87.9099,88,1966,39,49,0,1,11,2016-2025,,,1462,14.8,0.2,low,low,low,high,high,medium,low
issn:0263-2241,0263-2241,Measurement,"['0263-2241', '1873-412X']",Elsevier BV,Computer science,"Computer science,Engineering,Physics","[[""C41008148"",""Computer science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C33923547"",""Mathematics""], [""C192562407"",""Materials science""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C205649164"",""Geography""], [""C15744967"",""Psychology""]]",False,True,756,4488.2,307.1187,10.041149,66.0,307.1187,44.8883,45,4181,13,31,0,3,52,2016-2025,,,656,6.0,0.4,low,medium,medium,medium,medium,low,medium
issn:1048-9843,1048-9843,The Leadership Quarterly,"['1048-9843', '1873-3409']",Elsevier BV,Psychology,"Political science,Psychology,Social psychology","[[""C15744967"",""Psychology""], [""C17744445"",""Political science""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C138885662"",""Philosophy""], [""C144024400"",""Sociology""], [""C33923547"",""Mathematics""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C144133560"",""Business""]]",False,False,868,1353.0,80.7926,10.072623,67.0,80.7926,85.4423,85,1272,26,59,0,1,14,2016-2025,,,653,13.8,0.8,low,low,low,medium,medium,medium,high
issn:0007-6813,0007-6813,Business Horizons,"['0007-6813', '1873-6068']",Elsevier BV,Business,"Business,Economics,Political science","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C17744445"",""Political science""], [""C41008148"",""Computer science""], [""C127413603"",""Engineering""], [""C33923547"",""Mathematics""], [""C15744967"",""Psychology""], [""C138885662"",""Philosophy""], [""C121332964"",""Physics""]]",False,False,417,867.0,63.0726,10.267996,68.0,63.0726,81.2319,81,804,39,42,0,1,18,2016-2025,,,395,2.2,0.0,low,low,low,low,low,low,low
issn:2210-6707,2210-6707,Sustainable Cities and Society,"['2210-6707', '2210-6715']",Elsevier BV,Engineering,"Biology,Engineering,Geography","[[""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C205649164"",""Geography""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C162324750"",""Economics""], [""C39432304"",""Environmental science""], [""C33923547"",""Mathematics""], [""C127313418"",""Geology""], [""C95457728"",""History""], [""C17744445"",""Political science""], [""C144133560"",""Business""], [""C71924100"",""Medicine""], [""C138885662"",""Philosophy""], [""C144024400"",""Sociology""]]",False,False,537,2941.6,160.6909,10.390003,69.0,160.6909,50.1957,50,2781,29,22,0,2,47,2016-2025,,,380,9.8,0.6,low,low,low,low,low,medium,medium
issn:0924-2716,0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,"['0924-2716', '1872-8235']",Elsevier BV,Computer science,"Computer science,Geography,Geology","[[""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C33923547"",""Mathematics""], [""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C15744967"",""Psychology""]]",False,True,471,1475.8,85.5096,10.48921,70.0,85.5096,71.8738,72,1390,38,33,0,1,27,2016-2025,,,358,7.4,0.4,low,low,low,low,low,medium,medium
issn:0360-3199,0360-3199,International journal of hydrogen energy,"['0360-3199', '1879-3487']",,Physics,"Chemistry,Organic chemistry,Physics","[[""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""], [""C39432304"",""Environmental science""]]",False,True,1326,6306.4,431.1559,10.639332,71.0,431.1559,58.342,58,5875,16,43,0,2,40,2016-2025,,,1218,8.8,0.2,low,medium,medium,high,high,medium,low
issn:1054-139X,1054-139X,Journal of Adolescent Health,"['1054-139X', '1879-1972']",Elsevier BV,Medicine,"Medicine,Psychology,Sociology","[[""C71924100"",""Medicine""], [""C15744967"",""Psychology""], [""C144024400"",""Sociology""], [""C86803240"",""Biology""], [""C17744445"",""Political science""], [""C162324750"",""Economics""], [""C33923547"",""Mathematics""], [""C41008148"",""Computer science""]]",False,False,586,1869.0,120.6899,10.886685,72.0,120.6899,72.5954,73,1748,39,34,0,1,26,2016-2025,,,518,6.8,0.0,low,low,low,low,medium,low,low
issn:0747-5632,0747-5632,Computers in Human Behavior,"['0747-5632', '1873-7692']",Elsevier BV,Psychology,"Computer science,Psychology,Social psychology","[[""C162324750"",""Economics""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C144133560"",""Business""], [""C205649164"",""Geography""], [""C15744967"",""Psychology""], [""C41008148"",""Computer science""], [""C17744445"",""Political science""], [""C138885662"",""Philosophy""], [""C33923547"",""Mathematics""], [""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C144024400"",""Sociology""]]",False,False,2002,5408.6,353.8272,11.005624,73.0,353.8272,77.0582,77,5055,42,35,0,1,22,2016-2025,,,1814,14.8,0.4,low,medium,medium,high,high,medium,medium
issn:0360-5442,0360-5442,Energy,"['0360-5442', '1873-6785']",,Engineering,"Engineering,Physics,Thermodynamics","[[""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C39432304"",""Environmental science""], [""C205649164"",""Geography""], [""C192562407"",""Materials science""], [""C162324750"",""Economics""], [""C127313418"",""Geology""]]",False,False,1575,8859.8,561.492,11.047699,74.0,561.492,52.3201,52,8298,15,38,0,2,45,2016-2025,,,1385,19.0,0.0,low,high,high,high,high,high,low
issn:1074-7613,1074-7613,Immunity,"['1074-7613', '1097-4180']",Cell Press,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""]]",False,False,577,1532.8,92.6276,11.115862,75.0,92.6276,77.5359,78,1440,75,3,0,1,21,2016-2025,,12,485,9.2,0.0,low,low,low,low,low,medium,low
issn:0304-8853,0304-8853,Journal of magnetism and magnetic materials,"['0304-8853', '1873-4766']",,Physics,"Materials science,Physics,Quantum mechanics","[[""C121332964"",""Physics""], [""C192562407"",""Materials science""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C33923547"",""Mathematics""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""]]",False,False,3060,14697.8,909.0034,11.125767,76.0,909.0034,59.5014,60,13789,12,47,0,2,38,2016-2025,,,2641,26.0,1.6,low,high,high,high,high,high,high
issn:0960-1481,0960-1481,Renewable Energy,"['0960-1481', '1879-0682']",Elsevier BV,Engineering,"Biology,Engineering,Physics","[[""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C192562407"",""Materials science""], [""C162324750"",""Economics""]]",False,False,1551,8016.4,447.0051,11.370155,77.0,447.0051,57.0839,57,7569,20,37,0,2,41,2016-2025,,,1225,24.6,0.8,low,high,high,high,high,high,high
issn:1878-0180,1878-0180,Journal of the mechanical behavior of biomedical materials/Journal of mechanical behavior of biomedical materials,"['1878-0180', '1751-6161']",Elsevier BV,Materials science,"Composite material,Engineering,Materials science","[[""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""]]",False,False,631,2966.6,165.1584,11.406508,78.0,165.1584,61.0808,61,2801,28,33,0,2,37,2016-2025,,,499,7.2,0.6,low,low,low,medium,medium,low,medium
issn:0093-691X,0093-691X,Theriogenology,"['0093-691X', '1879-3231']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""]]",False,False,1490,5192.8,297.5823,11.436798,79.0,297.5823,71.2787,71,4895,18,54,0,1,27,2016-2025,,,1219,21.2,0.6,low,medium,medium,high,high,high,medium
issn:1161-0301,1161-0301,European Journal of Agronomy,"['1161-0301', '1873-7331']",Elsevier BV,Biology,"Agronomy,Biology,Ecology","[[""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C205649164"",""Geography""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C95457728"",""History""], [""C192562407"",""Materials science""], [""C33923547"",""Mathematics""], [""C127413603"",""Engineering""]]",False,True,967,2624.4,139.0516,11.757433,80.0,139.0516,78.1416,78,2485,37,41,0,1,21,2016-2025,,,748,16.0,0.6,low,low,low,medium,medium,high,medium
issn:0306-2619,0306-2619,Applied Energy,"['0306-2619', '1872-9118']",Elsevier BV,Engineering,"Engineering,Physics,Quantum mechanics","[[""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C185592680"",""Chemistry""], [""C39432304"",""Environmental science""], [""C162324750"",""Economics""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C192562407"",""Materials science""]]",False,False,2291,9953.8,564.3719,11.760866,81.0,564.3719,65.1548,65,9389,29,36,0,2,33,2016-2025,,,1905,30.6,0.8,low,high,high,high,high,high,high
issn:0921-3449,0921-3449,Resources Conservation and Recycling,"['0921-3449', '1879-0658']",Elsevier BV,Engineering,"Biology,Ecology,Engineering","[[""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C162324750"",""Economics""], [""C205649164"",""Geography""], [""C144133560"",""Business""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C121332964"",""Physics""], [""C95457728"",""History""], [""C17744445"",""Political science""], [""C192562407"",""Materials science""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""]]",False,False,1360,5742.0,331.8753,11.943795,82.0,331.8753,66.6927,67,5410,39,28,0,2,32,2016-2025,,,1172,10.8,0.8,low,medium,medium,high,high,medium,high
issn:0165-2427,0165-2427,Veterinary Immunology and Immunopathology,"['0165-2427', '1873-2534']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""]]",False,False,1229,3146.4,144.2583,12.088124,83.0,144.2583,79.7874,80,3002,35,45,0,1,19,2016-2025,,,840,21.2,1.8,low,low,low,high,medium,high,high
issn:0926-5805,0926-5805,Automation in Construction,"['0926-5805', '1872-7891']",Elsevier BV,Computer science,"Computer science,Engineering,Mathematics","[[""C41008148"",""Computer science""], [""C127413603"",""Engineering""], [""C33923547"",""Mathematics""], [""C121332964"",""Physics""], [""C162324750"",""Economics""], [""C86803240"",""Biology""], [""C205649164"",""Geography""], [""C127313418"",""Geology""], [""C192562407"",""Materials science""], [""C144133560"",""Business""], [""C138885662"",""Philosophy""], [""C95457728"",""History""]]",False,True,669,2682.4,157.9159,12.209211,84.0,157.9159,69.074,69,2524,36,33,0,2,29,2016-2025,,,601,6.8,0.0,low,low,low,medium,medium,low,low
issn:0165-9936,0165-9936,TrAC Trends in Analytical Chemistry,"['0165-9936', '1879-3142']",Elsevier BV,Chemistry,"Biology,Chemistry,Physics","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C71924100"",""Medicine""], [""C33923547"",""Mathematics""]]",False,False,1114,5073.6,287.7515,12.215056,85.0,287.7515,64.8393,65,4786,28,37,0,2,33,2016-2025,,,963,11.2,0.4,low,medium,medium,high,high,medium,medium
issn:1540-7489,1540-7489,Proceedings of the Combustion Institute,"['1540-7489', '1873-2704']",Elsevier BV,Physics,"Chemistry,Organic chemistry,Physics","[[""C127313418"",""Geology""], [""C41008148"",""Computer science""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C86803240"",""Biology""], [""C205649164"",""Geography""], [""C33923547"",""Mathematics""]]",False,True,267,1494.6,82.5347,12.363793,86.0,82.5347,57.1649,57,1412,24,33,0,2,41,2016-2025,,,227,2.0,0.2,low,low,low,low,low,low,low
issn:0038-0717,0038-0717,Soil Biology and Biochemistry,"['0038-0717', '1879-3428']",Elsevier BV,Biology,"Biology,Ecology,Geology","[[""C86803240"",""Biology""], [""C127313418"",""Geology""], [""C185592680"",""Chemistry""], [""C39432304"",""Environmental science""], [""C121332964"",""Physics""], [""C205649164"",""Geography""], [""C71924100"",""Medicine""], [""C127413603"",""Engineering""], [""C95457728"",""History""]]",False,False,2875,8150.8,366.68,12.726146,87.0,366.68,78.7273,79,7784,35,44,0,1,20,2016-2025,,,2028,69.0,1.6,low,high,high,high,high,high,high
issn:0261-5177,0261-5177,Tourism Management,"['0261-5177', '1879-3193']",Elsevier BV,Political science,"Geography,Law,Political science","[[""C17744445"",""Political science""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C144133560"",""Business""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C144024400"",""Sociology""], [""C86803240"",""Biology""], [""C138885662"",""Philosophy""], [""C33923547"",""Mathematics""], [""C15744967"",""Psychology""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""]]",False,False,1427,4303.4,224.1577,12.773538,88.0,224.1577,77.6225,78,4079,33,44,0,1,21,2016-2025,,,1178,21.0,0.4,low,medium,medium,high,high,high,medium
issn:0304-405X,0304-405X,Journal of Financial Economics,"['0304-405X', '1879-2774']",Elsevier BV,Business,"Business,Economics,Finance","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C33923547"",""Mathematics""], [""C17744445"",""Political science""], [""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C138885662"",""Philosophy""]]",False,False,2015,6624.0,317.9624,13.172725,89.0,317.9624,76.2365,76,6306,40,36,0,1,23,2016-2025,,,1574,28.2,1.6,low,medium,medium,high,high,high,high
issn:0883-9026,0883-9026,Journal of Business Venturing,"['0883-9026', '1873-2003']",Elsevier BV,Business,"Business,Economics,Political science","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C17744445"",""Political science""], [""C41008148"",""Computer science""], [""C138885662"",""Philosophy""], [""C144024400"",""Sociology""], [""C15744967"",""Psychology""], [""C33923547"",""Mathematics""], [""C121332964"",""Physics""], [""C86803240"",""Biology""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C127413603"",""Engineering""]]",False,False,1852,2315.4,133.5724,13.174137,90.0,133.5724,91.0577,91,2182,43,48,0,0,8,2016-2025,,,1757,7.6,0.2,low,low,low,high,high,medium,low
issn:0378-7753,0378-7753,Journal of power sources,"['0378-7753', '1873-2755']",,Physics,"Chemistry,Physics,Quantum mechanics","[[""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""]]",False,False,3927,15627.8,851.4628,13.189527,91.0,851.4628,71.4735,71,14776,18,53,0,1,27,2016-2025,,,3512,31.6,1.0,low,high,high,high,high,high,high
issn:0195-6663,0195-6663,Appetite,"['0195-6663', '1095-8304']",Elsevier BV,Psychology,"Biology,Medicine,Psychology","[[""C15744967"",""Psychology""], [""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C144024400"",""Sociology""], [""C138885662"",""Philosophy""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C162324750"",""Economics""], [""C121332964"",""Physics""]]",False,False,1180,3845.8,201.0397,13.271996,92.0,201.0397,76.7339,77,3645,51,26,0,1,22,2016-2025,,,1017,14.4,0.2,low,medium,medium,high,high,medium,low
issn:0308-8146,0308-8146,Food chemistry,"['0308-8146', '1873-7072']",,Chemistry,"Biology,Chemistry,Organic chemistry","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C71924100"",""Medicine""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""]]",False,False,3230,17934.4,782.7249,13.391481,93.0,782.7249,60.3474,60,17152,17,43,0,2,38,2016-2025,,,2322,46.8,4.4,low,high,high,high,high,high,high
issn:0264-8377,0264-8377,Land Use Policy,"['0264-8377', '1873-5754']",Elsevier BV,Geography,"Biology,Economics,Geography","[[""C205649164"",""Geography""], [""C162324750"",""Economics""], [""C86803240"",""Biology""], [""C144133560"",""Business""], [""C95457728"",""History""], [""C17744445"",""Political science""], [""C39432304"",""Environmental science""], [""C127413603"",""Engineering""], [""C41008148"",""Computer science""], [""C144024400"",""Sociology""], [""C138885662"",""Philosophy""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""], [""C121332964"",""Physics""]]",False,False,665,3151.4,136.0721,13.575363,94.0,136.0721,66.5989,67,3015,32,35,0,2,32,2016-2025,,,479,10.6,0.8,low,low,low,medium,low,medium,high
